"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","6","Products","4","0","Get Products","0"
"0","","4","Categories","0","0","Update Categories","0"
"0","","5","Categories","2","0","Get Categories","0"
"0","","1","Users","1","0","Delete User","0"
"0","","4","Users","0","0","Update User","0"
"0","","1","Categories","1","0","Delete Category","0"
"0","","1","Products","1","0","Delete Products","0"
"0","","1","Products","0","0","Create Products","0"
"0","","1","Auth","4","0","User Login","0"
"0","","0","Products","0","1","Update Products","0"
"0","","1","Auth","0","0","Refreshing Access Token","0"
"0","","1","Auth","2","0","Retrieving User Profile","0"
"0","","1","Users","0","0","Create User","0"
"0","","1","Users","2","0","Get Users","0"
"0","","2","Categories","0","0","Create Categories","0"
