"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Check invalid user login: password field is null","API Tests","2026-09-12","passed","2026-09-12","User Login","Auth","",""
"","60","Check get single category by id","API Tests","2026-09-12","passed","2026-09-12","Get Categories","Categories","",""
"","178","Check get a non-existing product by ID","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","268","Check an existing user update, with all body fields","API Tests","2026-09-12","passed","2026-09-12","Update Users","Users","",""
"","122","Check retrieving user profile","API Tests","2026-09-12","passed","2026-09-12","Retrieving User Profile","Auth","",""
"","120","Check an existing user update, without name","API Tests","2026-09-12","passed","2026-09-12","Update Users","Users","",""
"","178","Check get a non-existing user ","API Tests","2026-09-12","passed","2026-09-12","Get Users","Users","",""
"","188","Check get a non-existing category by slug","API Tests","2026-09-12","passed","2026-09-12","Get Categories","Categories","",""
"","370","Check a non-existing user update","API Tests","2026-09-12","passed","2026-09-12","Update Categories","Categories","",""
"","180","Check invalid retrieving user profile: ","API Tests","2026-09-12","passed","2026-09-12","Retrieving User Profile","Auth","",""
"","241","Check invalid user login: non-existent email value","API Tests","2026-09-12","passed","2026-09-12","User Login","Auth","",""
"","191","Check a non-existing category deletion","API Tests","2026-09-12","passed","2026-09-12","Delete Categories","Categories","",""
"","185","Check invalid user login: non email as email field value","API Tests","2026-09-12","passed","2026-09-12","User Login","Auth","",""
"","177","Check get products with limit query param","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","333","Check an existing category update, with all body fields","API Tests","2026-09-12","passed","2026-09-12","Update Categories","Categories","",""
"","195","Check a non-existing product deletion","API Tests","2026-09-12","passed","2026-09-12","Delete Products","Products","",""
"","172","Check get all products","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","116","Check an existing product deletion","API Tests","2026-09-12","passed","2026-09-12","Delete Products","Products","",""
"","59","Check get user information","API Tests","2026-09-12","passed","2026-09-12","Get Users","Users","",""
"","279","Check a non-existing user update","API Tests","2026-09-12","passed","2026-09-12","Update Users","Users","",""
"","60","Check get all products by category when category have 0 products","API Tests","2026-09-12","passed","2026-09-12","Get Categories","Categories","",""
"","233","Check an existing user update, without email field","API Tests","2026-09-12","passed","2026-09-12","Update Users","Users","",""
"","61","Check an existing category update, without name field","API Tests","2026-09-12","passed","2026-09-12","Update Categories","Categories","",""
"","59","Check get list of all categories","API Tests","2026-09-12","passed","2026-09-12","Get Categories","Categories","",""
"","351","Check a new category creation category with whitespaces","API Tests","2026-09-12","passed","2026-09-12","Create Categories","Categories","",""
"","392","Check a new category creation category without whitespaces","API Tests","2026-09-12","passed","2026-09-12","Create Categories","Categories","",""
"","59","Check get single category by slug","API Tests","2026-09-12","passed","2026-09-12","Get Categories","Categories","",""
"","60","Check get product by slug","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","232","Check invalid retrieving user profile: ","API Tests","2026-09-12","passed","2026-09-12","Retrieving User Profile","Auth","",""
"","179","Check invalid user login: email field is null","API Tests","2026-09-12","passed","2026-09-12","User Login","Auth","",""
"","185","Check refresh access token","API Tests","2026-09-12","passed","2026-09-12","Refreshing Access Token","Auth","",""
"","162","Create a new product creation","API Tests","2026-09-12","passed","2026-09-12","Create Products","Products","",""
"","119","Check an existing user deletion","API Tests","2026-09-12","passed","2026-09-12","Delete Users","Users","",""
"","216","Check an existing category update, without image field","API Tests","2026-09-12","passed","2026-09-12","Update Categories","Categories","",""
"","176","Check get a non-existing category by id","API Tests","2026-09-12","passed","2026-09-12","Get Categories","Categories","",""
"","63","Check login as user","API Tests","2026-09-12","passed","2026-09-12","User Login","Auth","",""
"","224","Check an existing product update","API Tests","2026-09-12","skipped","2026-09-12","Update Products","Products","",""
"","405","Check a new user creation","API Tests","2026-09-12","passed","2026-09-12","Create Users","Users","",""
"","119","Check an existing category deletion","API Tests","2026-09-12","passed","2026-09-12","Delete Categories","Categories","",""
"","180","Check a non-existing user deletion","API Tests","2026-09-12","passed","2026-09-12","Delete Users","Users","",""
"","181","Check get products with limit and offset query param","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","60","Check get product by ID","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","180","Check get list of all users","API Tests","2026-09-12","passed","2026-09-12","Get Users","Users","",""
"","1174","Check get products related by: id","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","1112","Check get products related by: slug","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","295","Check get products with offset query param","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","176","Check get a non-existing product by slug","API Tests","2026-09-12","passed","2026-09-12","Get Products","Products","",""
"","1105","Check get all products by category","API Tests","2026-09-12","passed","2026-09-12","Get Categories","Categories","",""
